127.0.0.1 - - [27/Mar/2018:20:33:42 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [27/Mar/2018:20:33:47 +0530] "GET /Clinic_Obosese/Home.jsp HTTP/1.1" 200 2854
0:0:0:0:0:0:0:1 - - [27/Mar/2018:20:33:47 +0530] "GET /Clinic_Obosese/splash2.jpg HTTP/1.1" 200 140146
0:0:0:0:0:0:0:1 - - [27/Mar/2018:20:34:13 +0530] "GET /Clinic_Obosese/DocLogin.jsp HTTP/1.1" 200 1361
0:0:0:0:0:0:0:1 - - [27/Mar/2018:20:34:13 +0530] "GET /Clinic_Obosese/doctors.jpg HTTP/1.1" 200 5310
0:0:0:0:0:0:0:1 - - [27/Mar/2018:20:34:37 +0530] "GET /Clinic_Obosese/AdminLogin.jsp HTTP/1.1" 200 1217
0:0:0:0:0:0:0:1 - - [27/Mar/2018:20:34:37 +0530] "GET /Clinic_Obosese/first_aid.png HTTP/1.1" 200 24792
0:0:0:0:0:0:0:1 - - [27/Mar/2018:20:34:46 +0530] "GET /Clinic_Obosese/AdminServletnew?Aname=admin&Apass=admin HTTP/1.1" 500 1221
0:0:0:0:0:0:0:1 - - [27/Mar/2018:20:34:46 +0530] "GET /Clinic_Obosese/admin.jpg HTTP/1.1" 200 6649
0:0:0:0:0:0:0:1 - - [27/Mar/2018:20:34:54 +0530] "GET /Clinic_Obosese/AdminServletnew?Aname=admin&Apass=admin HTTP/1.1" 500 1221
0:0:0:0:0:0:0:1 - - [27/Mar/2018:20:35:04 +0530] "GET /Clinic_Obosese/Logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Mar/2018:20:35:04 +0530] "GET /Clinic_Obosese/Home.jsp HTTP/1.1" 200 2854
0:0:0:0:0:0:0:1 - - [27/Mar/2018:20:35:04 +0530] "GET /Clinic_Obosese/splash2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2018:20:35:17 +0530] "GET /Clinic_Obosese/AdminServletnew?Aname=admin&Apass=admin HTTP/1.1" 500 1221
0:0:0:0:0:0:0:1 - - [27/Mar/2018:20:35:17 +0530] "GET /Clinic_Obosese/admin.jpg HTTP/1.1" 304 -
