127.0.0.1 - - [18/Nov/2017:17:31:58 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Nov/2017:17:32:24 +0530] "GET /Clinic_Obosese/Home.jsp HTTP/1.1" 200 2854
0:0:0:0:0:0:0:1 - - [18/Nov/2017:17:32:24 +0530] "GET /Clinic_Obosese/splash2.jpg HTTP/1.1" 200 140146
0:0:0:0:0:0:0:1 - - [18/Nov/2017:17:33:41 +0530] "GET /Clinic_Obosese/Home.jsp HTTP/1.1" 200 2854
0:0:0:0:0:0:0:1 - - [18/Nov/2017:17:33:50 +0530] "GET /Clinic_Obosese/splash2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:17:33:50 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [18/Nov/2017:17:34:05 +0530] "GET /Clinic_Obosese/AdminLogin.jsp HTTP/1.1" 200 1217
0:0:0:0:0:0:0:1 - - [18/Nov/2017:17:34:13 +0530] "GET /Clinic_Obosese/first_aid.png HTTP/1.1" 200 24792
0:0:0:0:0:0:0:1 - - [18/Nov/2017:17:34:13 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [18/Nov/2017:17:34:25 +0530] "GET /Clinic_Obosese/AdminServletnew?Aname=admin&Apass=admin HTTP/1.1" 500 1221
0:0:0:0:0:0:0:1 - - [18/Nov/2017:17:34:32 +0530] "GET /Clinic_Obosese/admin.jpg HTTP/1.1" 200 6649
0:0:0:0:0:0:0:1 - - [18/Nov/2017:17:34:41 +0530] "GET /Clinic_Obosese/TotalFees HTTP/1.1" 200 495
0:0:0:0:0:0:0:1 - - [18/Nov/2017:17:34:51 +0530] "GET /Clinic_Obosese/AdminAfterLogin.jsp HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [18/Nov/2017:17:35:02 +0530] "GET /Clinic_Obosese/Logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:17:35:02 +0530] "GET /Clinic_Obosese/Home.jsp HTTP/1.1" 200 2854
0:0:0:0:0:0:0:1 - - [18/Nov/2017:17:35:11 +0530] "GET /Clinic_Obosese/splash2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:17:40:38 +0530] "GET /Clinic_Obosese/Home.jsp HTTP/1.1" 200 2854
0:0:0:0:0:0:0:1 - - [18/Nov/2017:17:40:38 +0530] "GET /Clinic_Obosese/splash2.jpg HTTP/1.1" 200 140146
0:0:0:0:0:0:0:1 - - [18/Nov/2017:17:40:38 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [18/Nov/2017:17:41:24 +0530] "GET /Clinic_Obosese/Home.jsp HTTP/1.1" 200 2854
0:0:0:0:0:0:0:1 - - [18/Nov/2017:17:41:24 +0530] "GET /Clinic_Obosese/splash2.jpg HTTP/1.1" 200 140146
0:0:0:0:0:0:0:1 - - [18/Nov/2017:17:41:24 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [18/Nov/2017:17:41:32 +0530] "GET /Clinic_Obosese/PatientLogin.jsp HTTP/1.1" 200 1233
0:0:0:0:0:0:0:1 - - [18/Nov/2017:17:41:32 +0530] "GET /Clinic_Obosese/Patient-Portal-Banner.jpg HTTP/1.1" 200 129291
0:0:0:0:0:0:0:1 - - [18/Nov/2017:17:41:37 +0530] "GET /Clinic_Obosese/RegPage.jsp HTTP/1.1" 200 1940
0:0:0:0:0:0:0:1 - - [18/Nov/2017:17:41:40 +0530] "GET /Clinic_Obosese/PatientLogin.jsp HTTP/1.1" 200 1233
0:0:0:0:0:0:0:1 - - [18/Nov/2017:17:41:41 +0530] "GET /Clinic_Obosese/Home.jsp HTTP/1.1" 200 2854
0:0:0:0:0:0:0:1 - - [18/Nov/2017:17:41:44 +0530] "GET /Clinic_Obosese/AdminLogin.jsp HTTP/1.1" 200 1217
0:0:0:0:0:0:0:1 - - [18/Nov/2017:17:41:44 +0530] "GET /Clinic_Obosese/first_aid.png HTTP/1.1" 200 24792
0:0:0:0:0:0:0:1 - - [18/Nov/2017:17:41:57 +0530] "GET /Clinic_Obosese/AdminServletnew?Aname=admin&Apass=ADMIN HTTP/1.1" 500 1221
0:0:0:0:0:0:0:1 - - [18/Nov/2017:17:41:57 +0530] "GET /Clinic_Obosese/admin.jpg HTTP/1.1" 200 6649
0:0:0:0:0:0:0:1 - - [18/Nov/2017:17:42:00 +0530] "GET /Clinic_Obosese/DisplayAll.jsp HTTP/1.1" 200 4128
0:0:0:0:0:0:0:1 - - [18/Nov/2017:17:42:17 +0530] "GET /Clinic_Obosese/AdminAfterLogin.jsp HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [18/Nov/2017:17:44:30 +0530] "GET /Clinic_Obosese/DocLogin.jsp HTTP/1.1" 200 1361
0:0:0:0:0:0:0:1 - - [18/Nov/2017:17:44:31 +0530] "GET /Clinic_Obosese/doctors.jpg HTTP/1.1" 200 5310
0:0:0:0:0:0:0:1 - - [18/Nov/2017:17:44:31 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [18/Nov/2017:17:50:09 +0530] "GET /Clinic_Obosese/Home.jsp HTTP/1.1" 200 2854
0:0:0:0:0:0:0:1 - - [18/Nov/2017:17:50:09 +0530] "GET /Clinic_Obosese/splash2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:17:50:09 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [18/Nov/2017:17:50:30 +0530] "GET /Clinic_Obosese/Home.jsp HTTP/1.1" 200 2854
0:0:0:0:0:0:0:1 - - [18/Nov/2017:17:50:30 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
